row_id,event_time,segment,f_33a7c669,f_bf3c6aed,f_cd576770,f_ae0157d6,f_2bd5d77e,f_bbe0b25b,f_56f5c3e3,f_586d5c72,f_389f2a64,f_8adc0575,target
tr_6e3ed7_00357,0.4268699080879391,g_ebc5d4,0.006292985322218422,0.0655587357028002,198.70891208665896,-1.0719950974008918,19.800959849391415,-0.09770226230716134,-187.06721789243835,0.31591876064255187,,-261.18325703528535,0
tr_6e3ed7_00350,0.16027790691294355,g_ebc5d4,-0.008217736103057052,-0.08760368933213195,11.035252461968895,1.7383667648421597,17.317128745727533,0.06412942571842467,-64.3100866095256,,0.570461093922735,25.22741033863764,0
tr_6e3ed7_00390,0.4357314401548181,g_ebc5d4,-0.016726262873118142,-0.031053696847004965,160.5566361743452,-2.80707332605598,20.022421803853273,0.32436364245752314,-163.49885370747484,0.25976114929340144,0.6340889755130537,-377.4338181525813,1
tr_6e3ed7_00368,0.47503953436579444,g_ebc5d4,0.0020083264497304993,0.04495309516913111,28.14413428138677,0.44555633501001257,21.549764987121982,0.3948362275300256,-214.50297131752325,1.4910009503075603,0.38841848817770785,-572.2459537332566,1
tr_6e3ed7_00465,0.5099905890521877,g_be5b6a,-0.011412257907897731,-0.005330402753390535,,-0.6156948780609873,20.844124047475127,0.40739884617378774,-239.27771106746889,0.371826427806337,0.5675537293572325,709.2145824496232,0
tr_6e3ed7_00294,0.06074576021929049,g_be5b6a,,-0.07167318337733257,152.215796716017,0.9394367531358726,26.303092763795608,0.2885689160566119,-128.54272104660822,-0.09182056079858947,0.36894834463662984,-1552.5266070825373,0
tr_6e3ed7_00025,0.5662771247445715,g_ebc5d4,,-0.01374696634786803,,1.202191119537371,15.999389541564668,0.33980637856180534,-290.41265873014004,0.19978173455682702,-0.10095241108826658,406.6082020823725,0
tr_6e3ed7_00042,0.003772210704223564,g_ebc5d4,0.029446990477785744,-0.15909579204976693,63.3603570479292,-1.065654658323615,29.870153673378613,0.0873147092076253,-98.45830566283166,0.7361978099322923,0.1299311882099652,-661.5220654630689,0
tr_6e3ed7_00400,0.40111681696139806,g_ebc5d4,-0.004620828173737859,0.04754033689583213,-25.494653004806025,-1.1264571066953624,10.090296421670299,0.2001683032885569,-168.46141510486046,0.05067406426314458,0.8022514098325995,-492.95574618250237,0
tr_6e3ed7_00100,0.2950154501549238,g_be5b6a,0.016346725237069166,-0.05895914067234932,73.61601357925832,-1.7246329367138742,5.565515277808284,0.45227504088406356,20.164775938125203,0.5890405941594141,0.2878170654847607,24.912756152858748,0
tr_6e3ed7_00196,0.14862838209012405,g_be5b6a,-0.018587057051744852,-0.087176846349412,153.63816997359314,0.4878345756691066,25.074164393772854,0.39357419906293084,-145.17558028835307,0.05088842309075792,,13.753350584459184,1
tr_6e3ed7_00139,0.3475374697307973,g_ebc5d4,0.024231277604592948,-0.06613895029550049,,-0.16237485310254227,9.90719440139,0.21469083878622797,-99.50689883170357,1.2386911248996786,0.23457605976343138,746.6304439186682,1
tr_6e3ed7_00342,0.2425632764845968,g_a77c08,-0.06744874385448868,-0.024827479755166092,182.08241059968142,-1.3105184532009246,18.346322746680467,,-49.71006742004768,0.11605199187174042,1.0657853169634384,-540.8858003999586,1
tr_6e3ed7_00045,0.24134489438301554,g_be5b6a,-0.02712584154712892,0.06579648011921088,221.64412326413742,0.5915011555025212,13.769394452114106,0.04783047623690487,-225.7998182643051,0.5964720497210173,0.7026646053685539,-535.4887678347835,1
